MSFT,Microsoft Corporation,2019-04-18,Big corporates back crypto "plumbing" despite currency caution ,* London Stock Exchange  Banco Santander  Microsoft involved `,normal
TSLA,Tesla Inc ,2019-04-18,Tesla's Elon Musk  SEC get another week to work out deal on Twitter use ,NEW YORK Tesla Inc Chief Executive Elon Musk and the U.S. Securities and Exchange Commission will get another week to settle a dispute over Musk's use of Twitter  a federal judge ruled Thursday.,topStory
TSLA,Tesla Inc ,2019-04-18,UPDATE 2-Tesla's Elon Musk  SEC get another week to work out deal on Twitter use ,NEW YORK  April 18 Tesla Inc Chief Executive Elon Musk and the U.S. Securities and Exchange Commission will get another week to settle a dispute over Musk's use of Twitter  a federal judge ruled Thursday.,normal
TSLA,Tesla Inc ,2019-04-18,Tesla's Elon Musk  SEC seek more time from court to work out deal on Twitter use ,NEW YORK  April 18 Tesla Inc Chief Executive Elon Musk and the U.S. Securities and Exchange Commission are seeking more time from a federal court to settle a dispute over Musk's use of Twitter  according to a court filing Thursday.,normal
TSLA,Tesla Inc ,2019-04-18,Automakers invest heavily in electric vehicles despite still-low demand ,NEW YORK Demand for electric vehicles remains low in the U.S. market  but industry executives at the New York auto show this week said they are pushing ahead with billions of dollars in investments even while preaching patience.,normal
TSLA,Tesla Inc ,2019-04-18,Automakers invest heavily in electric vehicles despite still-low demand ,NEW YORK  April 18 Demand for electric vehicles remains low in the U.S. market  but industry executives at the New York auto show this week said they are pushing ahead with billions of dollars in investments even while preaching patience.,normal
TSLA,Tesla Inc ,2019-04-18,Factbox: T. Rowe Price sheds most of its Tesla stake ,T. Rowe Price  once the second-largest investor in Tesla Inc after Chief Executive Officer Elon Musk  has shed most of its stake in the electric carmaker in a series of transactions over the last two quarters.,normal
TSLA,Tesla Inc ,2019-04-18,UPDATE 1-Tesla holdings slashed by T. Rowe Price funds in latest cuts by investor ,April 17 T. Rowe Price funds slashed Tesla Inc holdings in the first quarter  data showed on Wednesday  as the institutional investor continued to cut its positions in the electric vehicle maker.,normal
TSLA,Tesla Inc ,2019-04-18,T. Rowe Price funds slash Tesla holdings in first quarter - Refinitiv data ,SAN FRANCISCO  April 17 T. Rowe Price funds slashed Tesla Inc holdings in the first quarter  data showed on Wednesday  as the institutional investor continued to cut its positions in the electric vehicle maker.,normal
INTC,Intel Corporation,2019-04-18,RPT-EXPLAINER-How 5G drove moves by Apple  Qualcomm and Intel ,SAN FRANCISCO  April 17 Apple Inc and Qualcomm Inc on Tuesday settled an acrimonious two-year legal dispute. Shortly afterward  Intel Corp said it will exit the smartphone modem chip business.,topStory
INTC,Intel Corporation,2019-04-18,Explainer: How 5G drove moves by Apple  Qualcomm and Intel ,SAN FRANCISCO Apple Inc and Qualcomm Inc on Tuesday settled an acrimonious two-year legal dispute. Shortly afterward  Intel Corp said it will exit the smartphone modem chip business.,normal
INTC,Intel Corporation,2019-04-18,CORRECTED-EXPLAINER-How 5G drove moves by Apple  Qualcomm and Intel ,SAN FRANCISCO  April 17 Apple Inc and Qualcomm Inc on Tuesday settled an acrimonious two-year legal dispute. Shortly afterward  Intel Corp said it will exit the smartphone modem chip business.,normal
